cohort,scr_age,ppt_rate,scr_mod,year,Cost_of_screen_x_reen_positives,Cost_of_clinic_x_ow_up_protocol,Health_adjusted_person_years
1973,50,0.18,FIT,2015,27458882.88,1660289.514,2132295.61
1973,50,0.18,FIT,2016,27805623.34,3498682.196,2141253.108
1973,50,0.18,FIT,2017,27650383.87,3764434.329,2149906.918
1973,50,0.18,FIT,2018,16568148.72,6989065.739,2151706.659
1973,50,0.18,FIT,2019,16598984.98,7421520.625,2149003.741
1973,50,0.18,FIT,2020,17469882.68,7601313.175,2147614.357
1973,50,0.18,FIT,2021,17340106.07,8097227.241,2145495.343
1973,50,0.18,FIT,2022,17281809.14,8479749.723,2142463.978
1973,50,0.18,FIT,2023,22268950.12,7999188.367,2138152.448
1973,50,0.18,FIT,2024,29240148.38,8926254.192,2132390.085
1973,50,0.18,FIT,2025,35731918.66,9173173.405,2125157.225
1973,50,0.18,FIT,2026,40514756.8,9337847.336,2116622.373
1973,50,0.18,FIT,2027,46339989.72,10295681.01,2106609.236
1973,50,0.18,FIT,2028,45046606.05,11738652.59,2098285.789
1973,50,0.18,FIT,2029,42603810.86,12772063.75,2091883.369
1973,50,0.18,FIT,2030,42925140.66,14438872.8,2084492.989
1973,50,0.18,FIT,2031,42290905.61,15411918.73,2076213.88
1973,50,0.18,FIT,2032,42345274.27,17288066.99,2067463.744
1973,50,0.18,FIT,2033,41066116.31,18976221.58,2060452.406
1973,50,0.18,FIT,2034,40747128.56,20053474.77,2055098.375
1973,50,0.18,FIT,2035,40397898.09,21376636.67,2049165.537
1973,50,0.18,FIT,2036,40762425.86,22943475.57,2042349.097
1973,50,0.18,FIT,2037,40041683.06,24734538.2,2034408.548
1973,50,0.18,FIT,2038,38734156.77,26118772.04,2025224.297
1973,50,0.18,FIT,2039,38619750.27,27664336.21,2014302.196
1973,50,0.18,FIT,2040,39149454.04,29262649.78,2001627.866
1973,50,0.18,FIT,2041,38964725.85,30992203.68,1987355.692
1973,50,0.18,FIT,2042,39191466.43,33061556.19,1971414.362
1973,50,0.18,FIT,2043,36718786.93,34294179.36,1952124.672
1973,50,0.18,FIT,2044,36741921.11,35354460.32,1929050.652
1973,50,0.18,FIT,2045,37172662.46,38757762.75,1903560.848
1973,50,0.18,FIT,2046,36946281.55,40432330.09,1876462.609
1973,50,0.18,FIT,2047,36188987.04,41257226.28,1846841.465
1973,50,0.18,FIT,2048,19431034.04,43604192.07,1807486.564
1973,50,0.18,FIT,2049,14745422.58,44839759.81,1758763.556
1973,50,0.18,FIT,2050,9989550.416,47175384.82,1707361.433
1973,50,0.18,FIT,2051,4657771.801,48177417.09,1653679.122
1973,50,0.18,FIT,2052,349877.9736,49204611.75,1597476.284
1973,50,0.18,FIT,2053,0,48612976.35,1538139.612
1973,50,0.18,FIT,2054,0,49462767.5,1475521.743
1973,50,0.18,FIT,2055,0,50045269.31,1410687.643
1973,50,0.18,FIT,2056,0,49355649.66,1343156.094
1973,50,0.18,FIT,2057,0,50112431.07,1272903.489
1973,50,0.18,FIT,2058,0,49191549.25,1195144.701
